158,273383920, VOLGA-FLOT 10, UECX,9751901,141,17,2019-11-15 14:59:56.357
159,273384140,ASHAMBA             ,ASHAMBA,,0,0,
160,273384520,GZS 1               ,UBBO7,8878544,52,14,2020-02-10 23:59:08.540
161,273386800,SCHS 1024,000000,,26,7,2020-02-11 09:54:10.413
162,273387100,VOLGODONSK          ,UHNT   ,7911478,130,16,2020-02-10 23:59:53.830
163,273387810,LAVRENTIY           ,UBXN7  ,8647866,84,18,2020-02-11 09:59:34.720
164,273389720,INZHENER KORZH,"",,20,5,2020-02-11 09:56:30.527
165,273389830,AZOV STAR           ,UBFO3  ,9052551,29,8,2020-02-11 09:59:03.980
166,273389960,LEON,UBTO7,9021887,20,6,2020-02-11 09:59:01.243
167,273390060,MARIO PRIMO         ,UBQP2  ,8743763,58,19,2020-02-11 09:53:31.073
168,273390830,MRST 25,0,,26,6,2020-02-09 14:50:56.223
169,273392390,AZOV                ,UBCP3  ,9787120,30,10,2020-02-11 09:59:05.887
170,273395390,MELITA,UBCP6,8230479,114,13,2020-01-26 01:12:53.217
171,273396060,KAPITAN CHEREMNYKH,UBQP6  ,0,26,6,2020-02-11 09:59:39.113
172,273396270,FREEDOM,KA0120,,9,2,2019-09-08 03:52:17.980
173,273396850,ANAPA,UBZP6,9817793,28,10,2020-02-11 09:59:51.680
174,273397020,MIRANDA,----,8330542,35,8,2020-01-28 06:52:34.850
175,273397530,NORD STAR AA0008RU43,"",,9,3,2019-11-11 09:50:47.103
176,273397680,BATA                ,UBAP3  ,0,22,6,2020-02-11 09:59:45.920
177,273397950,TAKIL               ,       ,9101340,32,7,2020-02-11 09:59:28.920
178,273398130,AZOV,UHFT,9156204,140,16,2020-02-11 09:54:04.533
179,273398480,ADLER,UBZO5,9787106,30,10,2020-02-11 09:59:57.817
180,273398740,MEKHANIK ALEKSEEV,UBXP6,9126649,34,10,2020-02-11 09:59:57.467
181,273398970,VLADIMIR VELIKIY ,UIHS ,9227455,275,50,2020-02-11 09:52:16.093
182,273399590,NINA MALKOVA,"",9818785,45,10,2020-01-15 23:59:46.233
183,273412960,TK0383,0000000,,10,3,2019-11-25 19:13:45.233
184,273415680,AKULA-3             ,"",,9,4,2019-09-24 14:16:57.610
185,273417450,SVYATOGOR,UBIQ3,8866840,138,16,2020-02-04 14:59:14.880
186,273417810,GALAN               ,UGGD   ,8844957,114,13,2020-01-23 15:20:27.780
187,273418280,LAVRION             ,UBXQ2  ,8729195,106,13,2020-02-11 09:50:59.073
188,273419310,NEVA,UIZF,8719413,82,11,2020-01-20 14:59:59.067
189,273420230,BEREZOVETS,UACM ,8885200,82,12,2020-02-11 09:59:37.683
190,273420420,ROMANTIK            ,"",0,21,6,2020-02-10 19:06:40.100
191,273421770,SOLL TEMRYUK        ,UHZD   ,9155262,30,9,2020-02-11 09:59:52.780
192,273422770,SOLL TAMAN,UHVT,9155250,29,9,2020-02-11 09:58:18.720
193,273423650,ERIDAN,-------,,25,5,2020-02-11 09:57:08.660
194,273424520,DISPETCHER KRYSHTOPA,"",8831651,20,6,2020-02-11 09:58:28.257
195,273427390,ODISSEY,UBDR4,9508275,31,9,2020-02-10 03:48:32.070
196,273430210,MODUS,UBFL,7942958,114,13,2020-02-11 09:57:50.500
197,273430550,MOROZOVSK       ,UENP,8951396,108,15,2020-02-10 14:59:42.633
198,273430570,ENIKALE             ,UEBU   ,0,22,7,2020-02-11 09:59:37.700
199,273430650,BOREY               ,       ,8929745,30,8,2019-10-30 23:59:47.687
200,273431840,KAMA                ,UIPW   ,8860822,119,13,2020-01-28 19:59:47.880
201,273432770,OT-1504             ,UCST   ,0,41,13,2019-11-25 09:59:51.557
202,273433370,MECHTA,       ,0,22,5,2020-02-11 09:59:43.787
203,273434050,YUG-1,UBSR9,,0,0,2020-02-10 09:57:02.823
204,273434343,ALLIGATOR-2,0,,5,2,2019-10-09 09:36:51.853
205,273434800,ERNA,UBIR7,8038259,114,13,2020-02-11 09:47:58.170
206,273436480,273436480,,,,,
207,273437920,VOLGONEFT-117,UIHR,0,132,17,2019-11-18 23:58:55.620
208,273438620,VOLGO-DON 5105,UAOV,8852837,138,16,2019-10-24 09:50:13.073
209,273438820,VOLGO-DON 5071,UAPI,8873465,138,16,2019-10-25 19:59:33.620
210,273438920,RK ALBATROS,       ,0,20,5,2020-02-11 09:59:01.387
211,273439450,REUSHINKA           ,UFAN   ,8928222,50,11,2020-02-11 09:59:39.097
